Algorithm,ARI,AMI,Purity,SS,CHS,DBS
PCA,0.491,0.738,0.806,0.157,3365.14,2.226
ICA,0.535,0.75,0.831,0.169,3418.442,2.32
Isomap,0.628,0.818,0.889,0.24,4217.91,2.397
LLE,0.327,0.631,0.608,0.112,1602.482,2.95
t-SNE,0.687,0.898,0.948,0.3,4891.882,1.654
DM,0.776,0.886,0.807,0.189,896.797,2.051
ACeDeC,0.713,0.863,0.911,0.205,4421.748,2.397
AEC,0.255,0.499,0.555,0.05,1714.12,6.292
DCN,0.637,0.821,0.844,0.181,3689.184,4.013
DDC,0.833,0.893,0.844,0.367,5863.065,1.023
DEC,0.811,0.875,0.8,0.185,3401.911,3.176
DKM,0.595,0.808,0.859,0.202,4162.171,2.386
DeepECT,0.414,0.612,0.678,0.102,1649.436,2.985
DipDECK,0.814,0.835,0.862,0.207,4134.466,2.637
DipEncoder,0.714,0.808,0.805,0.153,3095.602,2.973
IDEC,0.874,0.916,0.877,0.23,3821.42,3.094
N2D,0.648,0.836,0.897,0.25,4257.642,2.482
VaDE,0.756,0.887,0.932,0.287,4445.648,1.709
