algorithm,ARI,AMI,Purity,SS,CHS,DBS
PCA,0.326,0.388,0.954,0.171,1498.531,1.934
ICA,0.257,0.343,0.948,0.132,1341.377,2.238
Isomap,0.372,0.406,0.957,0.18,1486.68,1.864
ACeDeC,0.314,0.386,0.954,0.161,1482.999,1.986
AEC,0.323,0.384,0.954,0.136,1278.648,2.38
DCN,0.767,0.578,0.955,0.309,1060.041,2.363
DDC,0.054,0.197,0.957,0.004,307.165,2.807
DEC,0.277,0.358,0.945,0.138,1368.288,2.257
DKM,0.509,0.369,0.878,0.324,897.834,1.604
DeepECT,0.259,0.282,0.907,0.058,617.227,3.258
DipDECK,0.713,0.55,0.939,0.431,2205.745,1.041
DipEncoder,0.189,0.272,0.864,0.128,1185.59,2.2
IDEC,0.28,0.36,0.946,0.139,1363.786,2.252
N2D,0.13,0.243,0.852,0.077,976.677,2.77
VaDE,0.653,0.504,0.934,0.384,1140.658,3.62
