Method,ARI,AMI,Purity,SS,CHS,DBS
1,VaDE,VaDE,Isomap,DDC,DDC,DDC
2,DDC,Isomap,ACeDeC,VaDE,ACeDeC,VaDE
3,IDEC,DEC,PCA,Isomap,Isomap,Isomap
4,DEC,IDEC,IDEC,ACeDeC,VaDE,PCA
5,Isomap,DDC,N2D,PCA,PCA,ACeDeC
6,ACeDeC,ACeDeC,VaDE,DCN,ICA,ICA
7,DCN,DCN,DEC,IDEC,DipDECK,DipDECK
8,DipDECK,PCA,ICA,DEC,IDEC,N2D
9,PCA,DipDECK,DDC,DipDECK,N2D,DKM
10,ICA,ICA,DKM,ICA,DKM,DipEncoder
11,DKM,N2D,DCN,N2D,DEC,IDEC
12,N2D,DipEncoder,DipDECK,DKM,DipEncoder,DEC
13,DipEncoder,DKM,DipEncoder,DipEncoder,DCN,DCN
14,DeepECT,DeepECT,DeepECT,DeepECT,AEC,DeepECT
15,AEC,AEC,AEC,AEC,DeepECT,AEC
