Algorithm,ARI,AMI,Purity,SS,CHS,DBS
PCA,0.573,0.796,0.913,0.257,2439.366,1.413
ICA,0.613,0.8,0.914,0.254,2403.811,1.437
Isomap,0.557,0.791,0.913,0.252,2417.936,1.421
LLE,0.601,0.747,0.828,0.012,742.938,1.117
t-SNE,0.566,0.771,0.895,0.182,1680.762,1.686
DM,0.597,0.807,0.914,0.257,2425.074,1.425
ACeDeC,0.634,0.77,0.905,0.208,2083.272,1.766
AEC,0.358,0.61,0.818,0.173,1935.731,2.278
DCN,0.77,0.859,0.913,0.305,1997.801,1.046
DDC,0.386,0.651,0.904,0.175,1501.293,2.29
DEC,0.567,0.792,0.914,0.213,2174.633,1.689
DKM,0.526,0.734,0.903,0.234,2291.403,1.486
DeepECT,0.134,0.439,0.879,0.006,492.392,4.021
DipDECK,0.791,0.852,0.903,0.331,2429.059,1.029
DipEncoder,0.523,0.763,0.911,0.201,2100.436,1.806
IDEC,0.563,0.786,0.914,0.211,2158.338,1.715
N2D,0.471,0.696,0.879,0.208,1955.052,1.622
VaDE,0.494,0.709,0.826,0.204,1844.804,1.547
